Program,University,COLOMBO,GAMPAHA,KALUTARA,MATALE,KANDY,NUWARA ELIYA,GALLE,MATARA,HAMBANTOTA,JAFFNA,KILINOCHCHI,MANNAR,MULLAITIVU,VAVUNIYA,TRINCOMALEE,BATTICALOA,AMPARA,PUTTALAM,KURUNEGALA,ANURADHAPURA,POLONNARUWA,BADULLA,MONARAGALA,KEGALLE,RATNAPURA
MEDICINE,University of Colombo,2.4516,2.4412,2.4446,2.4981,2.5501,NQC,2.4478,2.4552,2.4711,2.4504,NQC,NQC,NQC,2.5134,2.4637,2.4902,2.4374,2.4946,2.445,2.5446,2.4695,2.5455,NQC,2.4552,2.4542
MEDICINE,University of Peradeniya,2.2279,2.2147,2.2204,2.215,2.2216,2.2598,2.2429,2.2225,2.2646,2.212,2.3267,NQC,2.2786,2.2496,2.248,2.2518,2.2384,2.2805,2.2114,2.2347,2.2591,2.2159,2.241,2.215,2.2112
MEDICINE,University of Sri Jayewardenepura,2.1465,2.1566,2.1474,2.1943,2.1512,NQC,2.1503,2.1557,2.1643,2.1968,2.1972,NQC,NQC,2.1503,2.1783,2.1621,2.169,2.1698,2.1529,2.185,2.1774,2.1671,NQC,2.1465,2.1586
MEDICINE,University of Kelaniya,2.0526,2.0517,2.0514,2.0612,2.0545,2.0969,2.0791,2.0508,2.0508,NQC,NQC,2.1087,NQC,NQC,2.0533,2.0571,2.0536,2.0552,2.0517,2.0651,2.1071,2.0619,2.1015,2.06,2.0526
MEDICINE,University of Jaffna,1.879,1.7278,1.784,1.7073,1.8169,1.7308,NQC,NQC,1.7765,1.8724,1.7943,1.7335,1.8819,1.8433,1.7138,1.8226,1.8321,1.7175,1.8028,1.7109,1.7355,1.7099,1.7277,1.8226,1.752
MEDICINE,University of Ruhuna,1.9559,1.955,1.9559,1.9778,1.9598,1.9775,1.9552,1.955,1.9606,NQC,NQC,NQC,NQC,1.9671,2.0044,1.9614,1.9566,1.9578,1.9594,1.9552,NQC,1.9626,1.9757,1.9616,1.9571
MEDICINE,University of Moratuwa,1.8732,1.8707,1.8732,NQC,1.8827,1.9286,1.8728,1.913,1.9222,2.0797,NQC,NQC,NQC,1.8938,1.8843,NQC,1.8997,1.9381,1.8901,NQC,1.9909,NQC,NQC,1.9286,1.8706
MEDICINE,"Eastern University, Sri Lanka",NQC,1.6406,1.7783,1.6524,NQC,1.4296,NQC,NQC,1.8366,NQC,NQC,1.6845,NQC,1.9934,1.737,1.8413,1.8169,1.6762,NQC,1.5146,1.4283,NQC,1.6018,1.8207,NQC
MEDICINE,Rajarata University of Sri Lanka,1.8772,1.8547,1.8995,1.8604,1.8509,1.9025,1.9071,1.9079,1.8525,NQC,NQC,NQC,NQC,1.998,1.862,1.8601,1.8566,1.8496,1.8596,1.8506,1.9345,1.8525,1.8706,1.851,1.8509
MEDICINE,Sabaragamuwa University of Sri Lanka,1.8894,1.6816,1.785,1.68,1.8032,1.6837,NQC,1.9005,1.7698,NQC,NQC,1.707,NQC,NQC,NQC,NQC,1.8048,1.6839,1.802,1.6791,NQC,1.6845,1.6825,1.7998,1.7541
MEDICINE,Wayamba University of Sri Lanka,1.9152,1.689,1.7711,1.6921,1.8229,1.7319,1.8661,NQC,NQC,NQC,NQC,1.8481,NQC,NQC,1.7552,NQC,1.8216,1.6873,1.8038,1.6969,1.6921,1.6892,1.6948,1.7702,1.7803
MEDICINE,Uva Wellassa University of Sri Lanka,NQC,1.6473,NQC,1.652,NQC,1.383,NQC,NQC,NQC,NQC,NQC,NQC,NQC,NQC,NQC,NQC,NQC,NQC,NQC,1.5985,1.3959,NQC,NQC,NQC,1.8407
DENTAL SURGERY,University of Peradeniya,1.8311,1.6275,1.7698,1.6329,1.786,1.3891,1.8319,1.8405,1.7587,1.8086,1.666,1.6619,1.7586,NQC,1.6686,1.7962,1.7816,1.6623,1.786,1.5063,1.3714,1.6678,1.5849,1.7513,1.7434
DENTAL SURGERY,University of Sri Jayewardenepura,1.8337,1.6219,1.7682,NQC,NQC,1.3789,1.834,1.8535,1.8254,NQC,NQC,NQC,NQC,1.8206,NQC,NQC,NQC,NQC,NQC,NQC,NQC,NQC,NQC,NQC,1.7317
VETERINARY SCIENCE,University of Peradeniya,1.7345,1.6011,1.7211,1.5648,1.7446,1.3253,1.7523,1.7211,1.7457,1.737,1.647,1.541,1.6464,1.7615,1.6649,1.7456,1.7268,1.6574,1.7427,1.4687,1.332,1.6002,1.5756,1.7214,1.7202
BIOCHEMISTRY & MOLECULAR BIOLOGY,University of Colombo,1.7704,1.598,1.7372,1.5588,1.7709,1.315,1.7812,1.7361,1.7306,1.7859,1.5353,1.5458,1.3834,1.7345,1.6639,1.753,1.7033,1.6201,1.7739,1.5009,1.317,1.6644,1.5776,1.7437,1.7147
AGRICULTURAL TECHNOLOGY & MANAGEMENT,University of Peradeniya,1.1759,1.204,1.2884,1.2325,1.3487,1.1548,1.309,1.3705,1.3042,1.3043,1.2744,1.2453,1.2566,0.6477,1.0878,1.1553,1.3384,1.1835,1.3325,1.2957,1.2649,1.3423,1.2858,1.267,1.2033
AGRICULTURE,University of Jaffna,0.4638,0.4618,0.6491,0.656,0.7642,0.4627,0.6394,0.6099,0.8231,0.6679,0.5958,0.4667,0.6176,0.5199,0.4674,0.5724,0.5844,0.4726,0.6497,0.4627,0.5278,0.5294,0.4781,0.6261,0.5341
AGRICULTURE,"Eastern University, Sri Lanka",0.4158,0.4227,0.7903,NQC,0.6029,0.3495,0.6045,0.5849,0.6204,0.6728,0.4655,0.3943,0.7097,0.4281,0.473,0.5697,0.6102,0.3803,0.627,0.4504,0.322,0.5394,0.4486,0.6326,0.5334
AGRICULTURE,Rajarata University of Sri Lanka,0.5911,0.5781,0.5987,0.6104,0.6183,0.6258,0.5857,0.5798,0.6221,0.7215,0.8534,NQC,NQC,NQC,NQC,NQC,0.5905,0.6016,0.6299,0.6045,0.6089,0.593,0.5756,0.5952,0.5829
AGRICULTURE,Sabaragamuwa University of Sri Lanka,0.6993,0.6872,0.6924,0.7378,0.7021,0.9751,0.7423,0.7077,0.7067,0.6964,NQC,0.7442,NQC,NQC,NQC,0.7723,0.7557,0.9017,0.6898,0.7015,NQC,0.738,0.7958,0.712,0.6883
AGRICULTURE,Wayamba University of Sri Lanka,0.5923,0.6036,0.5923,0.6231,0.6098,0.6297,0.5863,0.5887,0.6287,0.6797,NQC,0.8777,NQC,NQC,0.69,0.5791,0.5914,0.5783,0.6308,0.5884,0.5797,0.5809,0.6198,0.5924,0.5902
FOOD SCIENCE & NUTRITION,Wayamba University of Sri Lanka,1.0529,1.1113,1.2161,1.1317,1.0935,1.0887,1.1207,1.1777,1.1177,1.2116,0.7893,1.1268,0.9533,0.9612,1.1347,1.175,1.2193,1.1472,1.1517,1.0755,1.111,1.117,1.2099,1.1986,1.1127
FOOD SCIENCE & TECHNOLOGY,University of Peradeniya,1.5034,1.5113,1.5138,NQC,1.5677,NQC,1.544,1.6068,1.5091,1.5054,NQC,NQC,NQC,NQC,NQC,NQC,NQC,NQC,1.509,NQC,NQC,NQC,1.5401,1.5336,1.5053
FOOD SCIENCE & TECHNOLOGY,University of Sri Jayewardenepura,1.4434,1.4441,1.4433,NQC,1.4696,NQC,1.4435,1.4624,1.4433,1.482,NQC,NQC,NQC,NQC,NQC,NQC,NQC,1.4971,1.4671,NQC,NQC,NQC,1.4761,1.5023,1.4642
FOOD SCIENCE & TECHNOLOGY,Sabaragamuwa University of Sri Lanka,1.3571,1.2593,1.4426,1.1763,1.1115,1.05,1.4051,1.373,NQC,NQC,1.1019,1.2822,1.3428,1.0429,1.1645,1.2097,1.1779,1.035,1.3214,1.0521,0.9454,1.1412,1.3009,1.2941,1.2154
BIOLOGICAL SCIENCE,University of Colombo,1.5982,1.6014,1.5932,NQC,1.6031,NQC,1.5974,1.6141,1.6106,1.6491,NQC,NQC,NQC,NQC,NQC,NQC,1.6068,1.617,1.6216,NQC,NQC,1.6537,NQC,1.618,1.5955
BIOLOGICAL SCIENCE,University of Peradeniya,1.4293,1.4238,1.4375,1.5053,1.4175,NQC,1.4172,1.4226,1.4273,1.4511,NQC,NQC,NQC,NQC,1.4192,1.5038,NQC,1.4391,1.4165,1.4595,NQC,1.4312,1.4993,1.4343,1.419
BIOLOGICAL SCIENCE,University of Sri Jayewardenepura,1.3093,1.3236,1.3093,1.3551,1.3109,NQC,1.3195,1.3103,1.3119,1.3328,NQC,NQC,NQC,NQC,1.3766,1.3365,1.3223,1.3112,1.3109,1.3195,NQC,1.3184,1.3949,1.3208,1.3121
BIOLOGICAL SCIENCE,University of Kelaniya,1.2328,1.2275,1.2257,1.2876,1.2349,1.3065,1.2282,1.2297,1.2442,1.2634,NQC,NQC,NQC,1.2389,NQC,1.2483,1.2325,1.2578,1.2277,1.2341,NQC,1.2406,1.2896,1.2332,1.2282
BIOLOGICAL SCIENCE,University of Jaffna,1.0115,0.8881,1.1666,0.9068,0.9725,0.9122,NQC,NQC,0.9197,1.0082,0.9132,NQC,0.9179,1.1751,0.9871,1.0014,0.8995,0.9048,1.0926,0.8982,0.9443,0.9045,0.9548,1.1569,0.8876
BIOLOGICAL SCIENCE,University of Ruhuna,1.0732,1.0822,1.1478,1.0788,1.0802,1.0935,1.085,1.0802,1.0923,NQC,NQC,NQC,NQC,NQC,NQC,1.0716,1.08,1.0856,1.0851,1.1203,1.1076,1.0729,1.1236,1.0843,1.0738
BIOLOGICAL SCIENCE,"Eastern University, Sri Lanka",0.9949,0.7536,NQC,0.7426,0.979,0.749,1.1413,NQC,0.8596,NQC,0.8409,0.8468,0.839,0.8075,0.9962,0.7572,0.8038,0.7416,NQC,0.7564,0.7709,0.7613,0.782,NQC,0.7368
BIOLOGICAL SCIENCE,South Eastern University of Sri Lanka,0.9968,0.5734,NQC,0.7822,NQC,0.4179,NQC,NQC,0.7948,NQC,0.6308,0.2566,NQC,0.4457,0.5396,0.6869,0.8888,0.5876,NQC,0.5119,0.3551,0.6449,0.4781,NQC,0.6316
APPLIED SCIENCES (BIO.SC),Rajarata University of Sri Lanka,0.825,0.8043,0.8608,0.8306,0.8545,0.8315,0.824,0.808,0.8412,0.8127,NQC,NQC,NQC,NQC,NQC,0.9068,NQC,0.8286,0.8467,0.8329,0.8636,0.8008,0.8673,0.8766,0.8098
APPLIED SCIENCES (BIO.SC),Sabaragamuwa University of Sri Lanka,0.895,0.889,0.8937,1.1245,0.911,NQC,0.8943,0.9447,0.9282,0.9571,NQC,NQC,NQC,NQC,NQC,NQC,0.9495,NQC,0.8908,0.9604,NQC,0.8918,NQC,0.901,0.9405
APPLIED SCIENCES (BIO.SC),"University of Vavuniya, Sri Lanka",0.6625,0.5294,NQC,NQC,NQC,0.3792,NQC,0.7164,0.6722,0.7369,0.5981,0.248,0.6331,0.5052,0.4815,0.6373,0.6575,0.4939,NQC,0.4826,0.3594,0.6691,0.46,NQC,0.5332
ENGINEERING,University of Peradeniya,1.9034,1.9033,1.9109,1.9649,1.9075,1.977,1.9115,1.9095,1.9035,1.9054,NQC,NQC,NQC,1.9561,1.9674,1.9032,1.9111,1.9303,1.9069,1.9101,1.9099,1.9119,1.9073,1.9081,1.9074
ENGINEERING,University of Sri Jayewardenepura,1.7762,1.7618,1.7647,NQC,1.7482,NQC,1.7652,1.7507,1.7631,1.78,NQC,NQC,NQC,1.8165,1.8803,1.8462,NQC,1.781,1.7552,1.8694,1.8118,1.9777,NQC,1.7507,1.8441
ENGINEERING,University of Jaffna,NQC,1.4031,NQC,1.392,1.5391,1.3978,NQC,NQC,NQC,NQC,1.3255,1.388,1.3682,1.3911,1.3429,1.4842,1.3419,1.3371,NQC,1.3887,1.4474,1.5255,1.3542,NQC,1.4062
ENGINEERING,University of Ruhuna,1.6861,1.6079,1.6421,1.652,1.6097,1.6081,1.7063,1.784,1.6355,NQC,1.6368,1.6789,1.6311,1.6191,1.6188,1.6126,1.6166,1.6414,1.6211,1.6126,1.6687,1.608,1.6237,1.6435,1.6228
ENGINEERING,University of Moratuwa,2.1036,2.1067,2.1193,2.1393,2.1072,2.1524,2.101,2.1146,2.1096,2.1167,2.1576,2.2964,NQC,2.1726,2.2361,2.1146,2.2577,2.1492,2.1101,2.1096,2.2829,2.102,2.1015,2.1115,2.1048
ENGINEERING,South Eastern University of Sri Lanka,NQC,NQC,NQC,1.0985,1.5351,0.7247,NQC,NQC,NQC,NQC,1.2605,1.1786,0.8143,1.3571,1.2946,1.5402,1.3775,1.2173,NQC,NQC,0.7871,NQC,1.311,NQC,1.4407
ENGINEERING (EM),University of Moratuwa,1.5225,1.3772,1.5348,1.4027,1.4557,1.2708,1.4786,1.5106,1.529,1.4386,1.0771,1.113,0.9722,1.1943,1.2499,1.4094,1.2183,1.3329,1.5353,1.3221,1.0241,1.4543,1.4088,1.5044,1.4393
ENGINEERING (TM),University of Moratuwa,1.499,1.3972,1.5398,1.3238,1.4391,1.2167,1.5052,1.5306,1.4986,1.4641,1.2035,1.0115,0.7608,1.172,1.2394,1.392,1.1729,1.3391,1.5258,1.3281,1.2206,1.45,1.5479,1.5247,1.4481
QUANTITY SURVEYING,University of Moratuwa,1.32,1.3058,1.295,1.2051,1.272,0.8566,1.3452,1.3892,1.3718,1.3571,1.2397,1.1677,0.711,1.2551,1.1011,1.3807,1.1659,1.1705,1.3547,1.2083,0.8628,1.3308,1.2582,1.3776,1.3091
COMPUTER SCIENCE,University of Colombo School of Computing,1.6123,1.6342,1.6319,1.8713,1.6176,1.7593,1.6196,1.6129,1.6148,1.6366,NQC,NQC,NQC,1.8869,NQC,2.287,NQC,1.7712,1.6149,1.6293,1.6465,1.879,1.6545,1.6197,1.6347
COMPUTER SCIENCE,University of Sri Jayewardenepura,1.5054,1.5127,1.5057,NQC,1.5137,NQC,1.5121,1.5127,1.5117,1.5073,NQC,NQC,NQC,NQC,NQC,NQC,NQC,NQC,1.5103,NQC,NQC,NQC,NQC,1.5524,1.5303
COMPUTER SCIENCE,University of Kelaniya,1.5246,1.5586,1.5193,NQC,1.538,NQC,1.5537,1.5253,1.5284,1.5575,NQC,NQC,NQC,NQC,1.5422,NQC,NQC,NQC,1.5525,NQC,NQC,NQC,NQC,1.5784,1.5353
COMPUTER SCIENCE,University of Jaffna,1.2741,1.1092,NQC,1.2467,1.1251,NQC,NQC,NQC,NQC,1.3709,1.2027,NQC,NQC,1.2433,1.2893,1.1515,1.1527,1.1268,1.1948,1.1079,NQC,1.161,1.1033,1.2459,1.1817
COMPUTER SCIENCE,University of Ruhuna,1.3257,1.3241,1.4002,NQC,1.3349,NQC,1.3671,1.4776,1.4149,1.3711,NQC,NQC,NQC,NQC,NQC,NQC,NQC,NQC,1.3281,1.3514,NQC,1.3583,NQC,1.3279,1.3333
COMPUTER SCIENCE,Eastern University - Trincomalee Campus,NQC,1.1211,NQC,0.8035,0.8446,0.4791,NQC,NQC,NQC,NQC,0.8907,0.5131,0.6127,0.7283,0.7455,1.056,0.8677,0.6784,NQC,0.7886,0.5547,1.1729,0.8722,NQC,1.2067
PHYSICAL SCIENCE,University of Colombo,1.2613,1.2675,1.2645,NQC,1.2615,NQC,1.2617,1.2642,1.2677,1.2689,NQC,NQC,NQC,NQC,1.3205,1.3694,1.638,1.369,1.2604,1.3592,2.296,1.2654,NQC,1.261,1.2627
PHYSICAL SCIENCE,University of Peradeniya,1.1588,1.1551,1.1531,1.1639,1.1531,1.3844,1.1534,1.1622,1.17,1.1636,NQC,NQC,NQC,NQC,NQC,NQC,NQC,1.1531,1.1574,1.1641,NQC,1.1581,1.1978,1.1635,1.1557
PHYSICAL SCIENCE,University of Sri Jayewardenepura,1.0756,1.0759,1.0801,1.0797,1.0725,NQC,1.0726,1.0783,1.0747,1.0765,NQC,NQC,NQC,NQC,NQC,1.1048,NQC,1.1056,1.0728,1.0811,NQC,1.0947,1.1111,1.0721,1.0801
PHYSICAL SCIENCE,University of Kelaniya,0.9845,0.9841,0.9862,0.9899,0.9896,NQC,0.9868,0.9925,0.9849,1.0002,NQC,NQC,NQC,NQC,NQC,0.9932,1.0241,1.0236,0.9851,1.0188,NQC,0.9844,0.9939,0.9858,0.9917
PHYSICAL SCIENCE,University of Jaffna,0.8624,0.725,0.7957,0.7004,0.7059,NQC,0.9686,NQC,0.7826,0.766,0.7308,NQC,NQC,0.7277,0.7051,0.6974,0.6966,0.7319,0.776,0.702,0.7025,0.7008,0.7174,0.8057,0.7062
PHYSICAL SCIENCE,University of Ruhuna,0.902,0.901,0.8991,0.9051,0.9043,NQC,0.9499,0.9064,0.9053,NQC,NQC,1.0094,NQC,NQC,0.9038,0.9065,0.9064,0.9151,0.8995,0.9203,NQC,0.901,0.9069,0.907,0.9014
PHYSICAL SCIENCE,"Eastern University, Sri Lanka",0.8582,0.7463,0.7833,0.5682,0.7181,0.4653,NQC,NQC,0.7707,0.8687,0.6225,0.4528,0.4382,0.4678,0.4719,0.5306,0.5841,0.4211,0.7728,0.4441,0.4181,0.6326,0.6196,0.8641,0.5878
PHYSICAL SCIENCE,South Eastern University of Sri Lanka,0.8711,0.7804,0.8234,0.5741,0.6947,0.0517,NQC,NQC,0.8599,NQC,NQC,0.0149,0.2835,0.3035,0.5409,0.5543,0.5742,0.3296,0.7933,0.4329,0.1972,0.6695,0.6245,0.8421,0.5882
SURVEYING SCIENCE,Sabaragamuwa University of Sri Lanka,0.8887,0.9417,1.0562,0.9743,0.8958,0.6227,1.075,1.0723,1.1194,1.0978,0.973,0.9445,0.6239,0.995,1.0721,1.085,1.0476,0.959,1.0521,1.0297,0.779,1.0278,1.08,1.0232,1.0664
APPLIED SCIENCES (PHY.SC),Rajarata University of Sri Lanka,0.7824,0.7987,0.7917,0.8444,0.7813,NQC,0.7814,0.7828,0.7879,0.8123,NQC,NQC,NQC,0.954,0.837,0.8026,NQC,0.8838,0.7893,0.7943,NQC,0.8027,NQC,0.7839,0.7793
APPLIED SCIENCES (PHY.SC),Sabaragamuwa University of Sri Lanka,0.8672,0.8722,0.8644,0.867,0.8679,NQC,0.8687,0.8658,0.8665,0.881,NQC,NQC,NQC,NQC,0.8692,NQC,0.8755,NQC,0.8686,NQC,NQC,0.9178,NQC,0.871,0.8644
APPLIED SCIENCES (PHY.SC),Wayamba University of Sri Lanka,0.7205,0.7203,0.73,0.7282,0.7403,NQC,0.7555,0.7653,0.7367,0.7368,NQC,NQC,NQC,NQC,NQC,0.8316,NQC,0.7392,0.7227,0.7651,NQC,0.7279,0.72,0.7455,0.7527
APPLIED SCIENCES (PHY.SC),"University of Vavuniya, Sri Lanka",0.6984,0.6915,0.7196,0.5601,0.6379,NQC,0.856,0.7871,0.8102,0.7346,0.5737,NQC,NQC,0.5509,0.5703,0.5681,0.5333,0.5963,0.6968,0.527,NQC,0.5684,0.5772,NQC,0.5703
APPLIED SCIENCES (PHY.SC),Eastern University - Trincomalee Campus,0.7291,0.7146,0.7122,0.6412,0.6542,0.0269,0.7741,NQC,NQC,NQC,NQC,-0.0124,0.3395,0.2761,0.39,0.5803,0.5292,0.2839,0.78,0.3973,0.1646,0.5756,0.5764,0.7715,0.5091
MANAGEMENT,University of Colombo,1.7329,1.7343,1.733,1.7558,1.737,1.75,1.733,1.7336,1.734,1.7354,1.7334,1.7605,1.739,1.7336,1.7496,1.7354,1.7941,1.7333,1.7324,1.7348,1.7341,1.7477,NQC,1.7372,1.7364
MANAGEMENT,University of Peradeniya,1.59,1.5872,1.5973,1.6036,1.588,1.5953,1.5885,1.589,1.6067,1.6123,1.6123,1.5879,1.6091,1.6144,1.6488,1.5879,1.5906,1.6067,1.5884,1.6052,1.596,1.6085,1.6203,1.5954,1.5955
MANAGEMENT,University of Sri Jayewardenepura,1.781,1.8011,1.8042,1.7898,1.7995,1.7863,1.7936,1.7827,1.7847,1.8025,NQC,1.906,1.8638,1.8014,1.7897,1.7978,1.9218,1.7979,1.7843,1.7928,1.8066,1.8237,1.8236,1.7889,1.7846
MANAGEMENT,University of Kelaniya,1.6379,1.6373,1.6367,1.6552,1.6381,1.6374,1.6367,1.6442,1.6599,NQC,NQC,NQC,NQC,NQC,1.6505,1.6562,1.6367,1.6374,1.6378,1.6391,1.6578,1.6429,1.6521,1.641,1.6415
MANAGEMENT,University of Jaffna,1.3185,1.3153,1.3944,1.2494,1.3052,1.179,NQC,NQC,1.0906,1.066,1.0988,1.0787,1.2681,1.1649,1.0712,1.1708,1.0813,1.1731,1.362,1.2147,1.1787,1.1799,1.3498,1.3248,1.2444
MANAGEMENT,University of Ruhuna,1.4181,1.4148,1.4149,1.4304,1.4162,1.4201,1.4188,1.4193,1.4305,NQC,NQC,NQC,NQC,NQC,1.4779,1.5693,1.4174,1.4582,1.4152,1.4267,1.4189,1.415,1.4148,1.4199,1.4227
MANAGEMENT,"Eastern University, Sri Lanka",1.3413,NQC,NQC,NQC,1.2984,1.1832,NQC,NQC,1.0918,1.0089,1.0157,1.3019,NQC,1.2047,1.0857,1.1723,1.0898,1.2032,NQC,1.2359,1.2355,1.18,NQC,NQC,1.2459
MANAGEMENT,South Eastern University of Sri Lanka,1.3382,1.3219,NQC,NQC,1.3284,1.213,1.3444,NQC,1.1,1.1683,NQC,NQC,NQC,1.2397,1.07,1.2038,1.088,1.2147,NQC,NQC,1.1607,1.1784,NQC,NQC,1.2544
MANAGEMENT,Rajarata University of Sri Lanka,1.3185,1.3109,1.3781,1.2853,1.2886,1.2886,1.3447,NQC,1.2875,1.4507,NQC,1.3341,1.5812,1.352,1.305,1.2869,1.2945,1.2859,1.3607,1.2844,1.2919,1.2889,1.2884,1.3205,1.2849
MANAGEMENT,Sabaragamuwa University of Sri Lanka,1.3542,1.3554,1.3689,1.3553,1.3602,1.3637,1.3555,1.3738,1.3555,NQC,NQC,1.3933,NQC,NQC,NQC,NQC,1.3558,1.3618,1.3602,1.3634,1.3637,1.3557,1.3561,1.3571,1.3617
MANAGEMENT,Wayamba University of Sri Lanka,1.3712,1.3721,1.3744,1.373,1.3758,1.376,1.3951,1.4059,1.3878,NQC,NQC,1.3966,NQC,NQC,1.3702,NQC,1.3894,1.3742,1.3702,1.3724,1.3867,1.3822,1.3938,1.3728,1.3737
REAL ESTATE MANAGEMENT & VALUATION,University of Sri Jayewardenepura,1.5794,1.5395,1.4638,1.4628,1.5496,1.5619,1.5527,1.5894,1.5439,1.3482,1.2899,1.5419,1.2196,1.5189,1.4408,1.4687,1.5224,1.341,1.5379,1.5616,1.5306,1.5272,1.5169,1.5302,1.583
COMMERCE,University of Sri Jayewardenepura,1.6096,1.6071,1.6094,1.6053,1.6095,1.6472,1.6072,1.6053,1.6351,NQC,NQC,NQC,NQC,1.6367,NQC,NQC,1.6282,NQC,1.6062,1.6294,1.616,1.6169,NQC,1.6071,1.6159
COMMERCE,University of Kelaniya,1.4831,1.4869,1.4844,1.5017,1.4844,1.5037,1.4871,1.4943,1.4862,NQC,NQC,1.4856,NQC,NQC,NQC,NQC,1.4849,1.5497,1.4926,1.4956,1.5814,1.4928,1.5037,1.4939,1.5002
COMMERCE,University of Jaffna,1.2849,1.2625,1.2904,NQC,1.2479,NQC,1.2685,1.2719,NQC,NQC,NQC,NQC,1.2541,1.2521,NQC,NQC,NQC,NQC,1.3051,NQC,1.295,1.2377,1.238,1.278,1.2372
COMMERCE,"Eastern University, Sri Lanka",1.2854,1.2767,1.2906,1.1667,1.2512,1.1315,1.2628,1.3261,1.056,NQC,NQC,1.0686,1.2356,1.0574,1.0608,1.1332,1.0562,1.1032,1.3051,1.1168,1.0879,1.1269,1.2283,1.279,1.1834
COMMERCE,South Eastern University of Sri Lanka,1.289,1.2833,1.3147,1.1869,1.2476,1.1193,1.2646,1.2753,1.0437,0.8918,0.9646,NQC,NQC,NQC,0.9556,1.1162,1.0142,1.0981,1.3182,1.1125,1.08,1.1269,1.232,1.281,1.2047
MANAGEMENT (PUBLIC) HONOURS,University of Sri Jayewardenepura,1.5979,1.5452,1.5779,1.5862,1.5634,1.5713,1.54,1.5497,1.5189,1.4919,1.5127,1.5775,1.517,1.5193,1.562,1.499,1.5522,1.5265,1.5648,1.5806,1.6311,1.5792,1.6193,1.5787,1.6051
BUSINESS INFORMATION SYSTEMS,HONOURS) (BIS,1.9317,1.8556,1.864,1.7385,1.8075,1.863,1.897,1.9436,1.8041,1.863,1.2875,1.5583,1.282,1.7014,1.7542,1.9533,1.7972,1.7134,1.7715,1.8439,1.8352,1.867,1.7155,1.8873,1.9297
FINANCIAL ENGINEERING #,University of Kelaniya,1.5815,1.5772,1.5996,NQC,1.4504,1.3529,1.5297,1.4216,1.1957,1.0875,NQC,1.063,NQC,NQC,1.1009,1.1035,1.0637,1.4138,1.4696,1.5799,1.2738,1.477,1.611,1.442,1.4591
BANKING & INSURANCE,"University of Vavuniya, Sri Lanka",1.2825,1.258,1.2853,1.2282,1.2596,1.2634,1.2955,1.2892,1.1815,1.0237,0.9097,1.0539,1.2233,1.2462,1.2269,1.1005,1.01,1.1703,1.2911,1.1886,1.1956,1.2283,1.2026,1.2876,1.2819
LAW,University of Colombo,2.0038,2.0025,2.0115,2.0307,2.003,2.1405,2,2,1.9979,2.069,NQC,2.1026,2.0776,2.0576,2.0024,2.0666,2.0192,2.0253,2.003,1.9954,2.005,2.0025,2.012,2.0055,1.9984
LAW,University of Peradeniya,1.953,1.9628,1.9653,1.9852,1.9618,1.9687,1.9857,1.9597,NQC,1.9529,NQC,NQC,1.9594,1.9934,1.9595,1.9797,1.953,1.9764,1.9841,1.9585,1.9948,1.957,2.0942,1.9769,1.9621
LAW,University of Jaffna,1.9239,1.9009,1.8048,NQC,1.8142,1.7784,NQC,1.9404,NQC,1.9029,1.7541,1.7475,NQC,1.9205,1.9353,1.936,1.9327,1.8898,1.8426,1.9008,NQC,1.9149,NQC,1.8861,1.921
ARTS *,University of Colombo,1.718,1.718,1.718,1.718,1.718,1.718,1.718,1.718,1.718,1.718,1.718,1.718,1.718,1.718,1.718,1.718,1.718,1.718,1.718,1.718,1.718,1.718,1.718,1.718,1.718
ARTS *,University of Peradeniya,1.5825,1.5825,1.5825,1.5825,1.5825,1.5825,1.5825,1.5825,1.5825,1.5825,1.5825,1.5825,1.5825,1.5825,1.5825,1.5825,1.5825,1.5825,1.5825,1.5825,1.5825,1.5825,1.5825,1.5825,1.5825
ARTS *,University of Sri Jayewardenepura,1.531,1.531,1.531,1.531,1.531,1.531,1.531,1.531,1.531,1.531,1.531,1.531,1.531,1.531,1.531,1.531,1.531,1.531,1.531,1.531,1.531,1.531,1.531,1.531,1.531
ARTS *,University of Kelaniya,1.4394,1.4394,1.4394,1.4394,1.4394,1.4394,1.4394,1.4394,1.4394,1.4394,1.4394,1.4394,1.4394,1.4394,1.4394,1.4394,1.4394,1.4394,1.4394,1.4394,1.4394,1.4394,1.4394,1.4394,1.4394
ARTS *,University of Jaffna,1.2062,1.2062,1.2062,1.2062,1.2062,1.2062,1.2062,1.2062,1.2062,1.2062,1.2062,1.2062,1.2062,1.2062,1.2062,1.2062,1.2062,1.2062,1.2062,1.2062,1.2062,1.2062,1.2062,1.2062,1.2062
ARTS *,University of Ruhuna,1.3492,1.3492,1.3492,1.3492,1.3492,1.3492,1.3492,1.3492,1.3492,1.3492,1.3492,1.3492,1.3492,1.3492,1.3492,1.3492,1.3492,1.3492,1.3492,1.3492,1.3492,1.3492,1.3492,1.3492,1.3492
ARTS *,"Eastern University, Sri Lanka",1.1729,1.1729,1.1729,1.1729,1.1729,1.1729,1.1729,1.1729,1.1729,1.1729,1.1729,1.1729,1.1729,1.1729,1.1729,1.1729,1.1729,1.1729,1.1729,1.1729,1.1729,1.1729,1.1729,1.1729,1.1729
