,Colombo,Gampaha,Kalutara,Matale,Kandy,Nuwara Eliya,Galle,Matara,Hambantota,Jaffna,Kilinochchi,Mannar,Mullaitivu,Vavuniya,Trincomalee,Batticaloa,Ampara,Puttalam,Kurunegala,Anuradhapura,Polonnaruwa,Badulla,Monaragala,Kegalle,Ratnapura
Management Studies (Tv) - B [Any Subject Combination] - Eastern University -Trincomalee Campus,0.2528845077330696,0.01510700198118331,0.341358016432892,0.2027397944321898,0.7031959811245541,0.03465644213987973,0.6348741553226886,0.6029125826582674,0.5595794616666188,0.4962728523321258,0.10839737698263308,0.23419943160818824,0.3860935449190346,0.056847889158877285,0.3444673083305715,0.0033247344139846202,0.37723093388097917,0.5276261255793934,0.7759919862481173,0.9183888020633171,0.31139240628839426,0.7205138243858906,0.0019500036784794172,0.12208498750183727,0.8323383429939964
Communication Studies * - Eastern University -Trincomalee Campus,0.4123183081975724,0.4123183081975724,0.4123183081975724,0.4123183081975724,0.4123183081975724,0.4123183081975724,0.4123183081975724,0.4123183081975724,0.4123183081975724,0.4123183081975724,0.4123183081975724,0.4123183081975724,0.4123183081975724,0.4123183081975724,0.4123183081975724,0.4123183081975724,0.4123183081975724,0.4123183081975724,0.4123183081975724,0.4123183081975724,0.4123183081975724,0.4123183081975724,0.4123183081975724,0.4123183081975724,0.4123183081975724
Peace & Conflict Resolution * - University of Kelaniya,0.4157905489358701,0.4157905489358701,0.4157905489358701,0.4157905489358701,0.4157905489358701,0.4157905489358701,0.4157905489358701,0.4157905489358701,0.4157905489358701,0.4157905489358701,0.4157905489358701,0.4157905489358701,0.4157905489358701,0.4157905489358701,0.4157905489358701,0.4157905489358701,0.4157905489358701,0.4157905489358701,0.4157905489358701,0.4157905489358701,0.4157905489358701,0.4157905489358701,0.4157905489358701,0.4157905489358701,0.4157905489358701
Islamic Studies * - South Eastern University of Sri Lanka,0.5930550788865444,0.5930550788865444,0.5930550788865444,0.5930550788865444,0.5930550788865444,0.5930550788865444,0.5930550788865444,0.5930550788865444,0.5930550788865444,0.5930550788865444,0.5930550788865444,0.5930550788865444,0.5930550788865444,0.5930550788865444,0.5930550788865444,0.5930550788865444,0.5930550788865444,0.5930550788865444,0.5930550788865444,0.5930550788865444,0.5930550788865444,0.5930550788865444,0.5930550788865444,0.5930550788865444,0.5930550788865444
Arabic Language * - South Eastern University of Sri Lanka,0.05555502809625035,0.05555502809625035,0.05555502809625035,0.05555502809625035,0.05555502809625035,0.05555502809625035,0.05555502809625035,0.05555502809625035,0.05555502809625035,0.05555502809625035,0.05555502809625035,0.05555502809625035,0.05555502809625035,0.05555502809625035,0.05555502809625035,0.05555502809625035,0.05555502809625035,0.05555502809625035,0.05555502809625035,0.05555502809625035,0.05555502809625035,0.05555502809625035,0.05555502809625035,0.05555502809625035,0.05555502809625035
Architecture # - University of Moratuwa,0.6884042518157243,0.8747683639713428,0.7432212468287802,0.6083117862590318,0.42474529049599297,0.2499892060942669,0.08694004411796608,0.3667315608481343,0.22115607407500393,0.05891850806084764,0.6484184571510911,0.08009013187070546,0.9595651737747889,0.017678658042541096,0.8265062107086245,0.47396906176673026,5.2127777288912824e-05,0.8262569991612735,0.16717404400822256,0.002234754504902625,0.729443196382519,0.6179300919943642,0.29214180762671704,0.7115024931944656,0.17098178945577003
Design # - University of Moratuwa,0.24566726314806764,0.02552345136791978,0.00043509943956066,0.8387150823856291,0.1177872028097674,0.9615960495357644,0.10016920416080655,0.04808965211405747,0.6076754874863203,0.0009499016982060793,0.6484184571510911,0.2032597882045133,0.9595651737747889,0.5577258556109024,0.08520750302827784,0.0010891430858543938,0.5048457653704659,0.0776788208839162,0.23096318790764392,0.7131067066605223,0.6418118689514976,0.012352677011941315,0.6330672926028902,0.17930927522606455,0.4616810476977564
Landscape Architecture # - University of Moratuwa,0.9127471723194833,0.9037663182007897,0.7157024496301124,0.027554859602719306,0.6351058661012119,0.008217511751566153,0.288995519410854,0.0640675199616223,0.8006943908424295,0.7389676434238284,0.6484184571510911,0.2032597882045133,0.9595651737747889,0.5577258556109024,0.00252531816218593,0.03395676370221545,0.864790501231896,0.0019360944577720973,0.6520408612599004,0.8302281960171791,0.3791368880272469,0.5265222786875243,0.09992204742078747,0.005753076875144814,0.5675513932710078
Town & Country Planning - University of Moratuwa,0.9889663159568192,0.9711885311637527,0.9712774309398117,0.9656245362354686,0.978922082575918,0.7298710125621524,0.9804004894922546,0.9542048969968427,0.9777243958429431,0.8786660266558258,8.43019769658504e-07,0.5183102352457027,0.14830607279624353,0.42596549546949247,0.8935533338578225,0.9721246932836038,0.7629902384187044,0.8920846516361524,0.9443951244055133,0.9043774507319009,0.6961173051289475,0.9263384158972792,0.531728714334377,0.6930594316091975,0.9517414970200085
Fashion Design & Product Development # - University of Moratuwa,0.06820028423952751,0.096633079884068,0.13749431229076747,0.00038022153946726256,0.014522747608664122,0.6079802660019087,0.1740987569294581,0.7329008900826285,0.49722436494995614,0.4138977483388392,0.6523666703714391,0.2032597882045133,0.9595651737747889,0.5577258556109024,0.9231840351832841,0.03547538190223787,0.9163421258904312,0.4318870743208644,0.263038313401162,0.8926004869133035,0.6103064285886173,0.11932373067906854,0.7525307794921583,0.7219327824394306,0.7806899790917644
