,Colombo,Gampaha,Kalutara,Matale,Kandy,Nuwara Eliya,Galle,Matara,Hambantota,Jaffna,Kilinochchi,Mannar,Mullaitivu,Vavuniya,Trincomalee,Batticaloa,Ampara,Puttalam,Kurunegala,Anuradhapura,Polonnaruwa,Badulla,Monaragala,Kegalle,Ratnapura
Applied Sciences (Bio.Sc) - Rajarata University of Sri Lanka,0.954425,0.9513999999999999,0.95885,0.9838199421965318,0.9819749999999999,1.0337326923076924,0.97325,0.969025,1.013180316091954,1.0286367647058823,1.0624880646360715,1.0792751642130975,0.9765769026997104,1.139542544030957,1.1272924560360207,1.0919064102564102,1.0726206703910615,0.9431,0.95015,0.9841768361581921,1.131374721204065,0.949475,1.0578696596746575,0.9859500000000001,0.943125
Applied Sciences (Bio.Sc) - Sabaragamuwa University of Sri Lanka,1.015325,1.030025,1.0246,1.2062867848198806,1.030575,1.143805020662506,1.018375,1.045925,1.0789303160919541,1.228264476102941,1.0624880646360715,1.0792751642130975,0.9765769026997104,1.139542544030957,1.2052941126625267,1.2587287384071264,1.1230478778244226,1.238642803810562,1.052425,1.1777931991933053,1.2040943878707315,1.082525,1.1929846675906384,1.0419,1.03375
Applied Sciences (Bio.Sc) - University of Jaffna - Vavuniya Campus,1.2426455568678696,1.2004085817855978,1.3185719464779169,1.1450504211835169,1.2823294546488613,1.0232752013853976,1.3493939810434785,1.3579034953031623,1.2357700990284828,1.182191098493833,0.898697174805563,0.9872288922832729,0.7699963201754386,1.0529803259858441,1.0479848844746074,1.1281425108622163,1.1593254817231529,1.104803162926584,1.234026783521252,1.099989505892256,1.0225978361465937,1.1813188178458627,1.0837478204159807,1.3225630347306547,1.2811615287726406
Engineering - University of Peradeniya,1.95995,1.9623249999999999,1.9666750000000002,1.7824699421965318,1.96415,1.9945,1.96345,1.962325,1.981875,1.9627499999999998,1.5638731713839067,1.5590170683900015,1.4862510825242716,1.9997,1.783825,1.9690749999999997,1.9995249999999998,1.98385,1.96225,1.9657499999999999,1.7685465517241379,1.9949,1.9868999999999999,1.9681250000000001,1.9657499999999999
Engineering - University of Sri Jayewardenepura,1.8361750000000001,1.8273,1.8474249999999999,1.3914384668283246,1.83615,1.529764387178343,1.8491,1.7147979166666667,1.842625,1.8485999999999998,1.0624880646360715,1.0792751642130975,0.9765769026997104,1.6500872180451127,1.6908842281879197,1.6847862275449101,1.5737032907119168,1.6857896408839779,1.84105,1.8695499999999998,1.368424721204065,1.609284094854798,1.4277726099852166,1.5976143488332188,1.7259621173469386
Engineering - University of Jaffna,1.290907523692514,1.5186,1.5037055790133782,1.48365,1.5160584158415842,1.4490500000000002,1.3493939810434785,1.3579034953031623,1.3266004151204367,1.7432633870967742,1.53715,1.4932249999999998,1.142378332524272,1.5394999999999999,1.4475500000000001,1.48725,1.528225,1.4183,1.322772965787262,1.4345750000000002,1.5240500000000001,1.58575,1.4781749999999998,1.4171392444080742,1.4071366421568625
Engineering - University of Ruhuna,1.7843499999999999,1.702175,1.71165,1.7563000000000002,1.7114249999999998,1.7523499999999999,1.8148,1.8377249999999998,1.7508,1.5678925047438328,1.746825,1.6388986363636364,1.75,1.7287249999999998,1.715725,1.7174749999999999,1.71265,1.72295,1.7415,1.72815,1.7306249999999999,1.7089750000000001,1.7191,1.735475,1.71075
Engineering - University of Moratuwa,2.113525,2.1203250000000002,2.12755,1.923294942196532,2.1202500000000004,2.1626000000000003,2.113725,2.1254750000000002,2.13165,2.1234,2.29985,2.211175,2.1397205,2.185275,2.164825,2.125075,2.199875,2.1434,2.1160499999999995,2.130025,2.2860249999999995,2.121975,2.309,2.1300749999999997,2.1284250000000005
Engineering - South Eastern University of Sri Lanka,1.290907523692514,1.404061485826002,1.506230579013378,1.2185567270164124,1.540108415841584,1.037125,1.3493939810434785,1.3579034953031623,1.4053950990284827,1.2998028631997154,1.2601148932521649,1.201375,1.10855,1.1735226831613919,1.2919749999999999,1.3729679599640126,1.5481,1.27435,1.322772965787262,1.3166475746753246,1.033575,1.430911226222826,1.30785,1.3994892444080742,1.4034116421568628
Engineering (Em) - University of Moratuwa,1.676025,1.565825,1.64785,1.53185,1.654125,1.340025,1.6538749999999998,1.6782000000000001,1.6648999999999998,1.6125,1.3859749999999997,1.1932,1.0584500000000001,1.251875,1.336975,1.44115,1.491425,1.39215,1.679725,1.38435,1.12155,1.62745,1.5167000000000002,1.6516250000000001,1.571175
Engineering (Tm) - University of Moratuwa,1.6533499999999999,1.6022249999999998,1.668675,1.441975,1.6167250000000002,1.2462499999999999,1.66185,1.673875,1.64435,1.588025,1.3797000000000001,0.9715250000000001,0.88225,1.236325,1.2745,1.4337250000000001,1.450175,1.452275,1.664225,1.436875,1.21685,1.627125,1.4843750000000002,1.6538,1.6188
Quantity Surveying - University of Moratuwa,1.54565,1.497175,1.533225,1.318825,1.4624499999999998,1.18615,1.53975,1.56595,1.5465749999999998,1.5482,1.3489499999999999,1.022875,0.898725,1.313625,1.21875,1.396775,1.420725,1.280725,1.5547000000000002,1.3275000000000001,1.0235750000000001,1.510175,1.2741500000000001,1.5573000000000001,1.46395
Computer Science - University of Kelaniya,1.5817,1.592525,1.5873500000000003,1.2535453633800486,1.591125,1.143805020662506,1.5901750000000003,1.5842,1.58595,1.53217359375,1.0624880646360715,1.0792751642130975,0.9765769026997104,1.139542544030957,1.2819108848144256,1.2587287384071264,1.2448011685363396,1.3435165397656181,1.59015,1.234866342050448,1.2040943878707315,1.3495693189506606,1.2377135738406382,1.460489348833219,1.5282121173469387
Computer Science - University of Jaffna,1.31515,1.2143249999999999,1.3355455389492754,1.2322199421965319,1.210025,1.1658223283548137,1.3493939810434785,1.3579034953031623,1.3266004151204367,1.486175,1.1448158898305087,1.0792751642130975,0.9765769026997104,1.2129287259858443,1.2194842281879197,1.204275,1.1980250000000001,1.20275,1.2885211822660099,1.194475,1.2040943878707315,1.258175,1.2070606235300791,1.278925,1.2319749999999998
Computer Science - University of Ruhuna,1.41875,1.4296,1.451675,1.2945654751118922,1.451725,1.143805020662506,1.4661999999999997,1.5149000000000001,1.49935,1.4077367647058823,1.0624880646360715,1.0792751642130975,0.9765769026997104,1.139542544030957,1.2052941126625267,1.295692188699524,1.2801435482154842,1.238642803810562,1.430975,1.2755431991933053,1.2040943878707315,1.390017297979798,1.2377135738406382,1.4317,1.4473250000000002
Computer Science - University of Colombo School of Computing,1.65535,1.6858499999999998,1.6713,1.5126998304646881,1.6727,1.7073298192771083,1.658475,1.6584999999999999,1.6630500000000001,1.67425,1.0624880646360715,1.0792751642130975,0.9765769026997104,1.313065944030957,1.2052941126625267,1.7485176378013205,1.2448011685363396,1.673151264044944,1.657475,1.6390437673751235,1.327099721204065,1.75955,1.3448606235300793,1.6703999999999999,1.68365
Computer Science - Eastern University - Trincomalee Campus,1.30021,1.10455,1.3307205389492753,0.9001250000000001,1.0580334158415843,0.6654,1.3493939810434785,1.3579034953031623,1.3266004151204367,1.3367042694497153,1.02505,0.56315,0.5426,0.7390872180451128,0.7766249999999999,1.095675,1.022825,0.789125,1.3124370520816782,1.0025,0.655575,1.2264,0.8472249999999999,1.3063974762200166,1.09565
Physical Science - University of Colombo,1.381975,1.386775,1.384625,1.366708578560168,1.386225,1.143805020662506,1.380675,1.3881999999999999,1.4273,1.38779859375,1.0624880646360715,1.0792751642130975,0.9765769026997104,1.139542544030957,1.2264858848144256,1.5696429599640127,1.4730576203208554,1.4964896408839778,1.3964249999999998,1.305501267976374,1.4894747212040649,1.6367500000000001,1.2377135738406382,1.398475,1.4118249999999999
Physical Science - University of Peradeniya,1.2830750000000002,1.2831,1.282975,1.2488949421965319,1.282225,1.2639377604535789,1.286525,1.2848,1.2905000000000002,1.298475,1.0624880646360715,1.0792751642130975,0.9765769026997104,1.139542544030957,1.2052941126625267,1.2578421886995241,1.3035178614022973,1.2270159049289218,1.287,1.2423768361581922,1.2076089191207315,1.290875,1.2306856235300792,1.2902250000000002,1.2863
Physical Science - University of Sri Jayewardenepura,1.2373349999999999,1.2337520161290323,1.2442898097826087,1.2448384668283246,1.2404436528497411,1.1744223283548136,1.2505451428571428,1.2585518181818183,1.2501368421052632,1.2510133870967743,1.0624880646360715,1.0792751642130975,0.9765769026997104,1.139542544030957,1.2052941126625267,1.232717188699524,1.2448011685363396,1.221662485711564,1.2530060483870968,1.2722900740740741,1.2040943878707315,1.240744429347826,1.2208226099852166,1.26926125,1.2607841623036649
Physical Science - University of Kelaniya,1.105225,1.1063,1.10605,1.1134199421965318,1.108125,1.143805020662506,1.1097000000000001,1.109675,1.117575,1.131425,1.0591848536268973,1.0792751642130975,0.9765769026997104,1.139542544030957,1.2052941126625267,1.16895,1.14995,1.1711290540540542,1.1061999999999999,1.118001836158192,1.1589589191207317,1.123142297979798,1.1395196596746575,1.1128,1.1109
Physical Science - University of Jaffna,1.0316869668246444,0.8002,1.0114557291666666,0.764375,0.8077,0.8603345679012346,1.0116,1.2750452550796987,0.873525,0.8704750000000001,0.831125,1.0792751642130975,0.9765769026997104,0.8282682608695652,0.77605,0.770875,0.7546499999999999,0.7533500000000001,0.9392,0.7605,0.7559499999999999,0.814025,0.7589250000000001,0.9148,0.7453
Physical Science - University of Ruhuna,1.031075,1.021525,1.02765,1.034975,1.028225,1.1047720794860354,1.032575,1.04545,1.03565,1.138513387096774,1.0319348536268973,1.0533043677529204,0.9765769026997104,1.096932078914678,1.1223108848144254,1.0930176378013206,1.047275,1.040375,1.0203250000000001,1.0369,1.2040943878707315,1.0254,1.0895196596746575,1.02315,1.020525
"Physical Science - Eastern University, Sri Lanka",1.0896034642865735,0.841375,0.9991557291666666,0.589525,0.809825,0.46085000000000004,1.2660925998280088,1.2666952550796986,0.87635,0.9806117647058824,0.595225,0.755730731389284,0.6665283325242719,0.47665,0.4652,0.500275,0.6542,0.54055,1.0140461822660098,0.605925,0.458775,0.8874922979797979,0.5667249999999999,1.1165029944080742,0.64415
Physical Science - South Eastern University of Sri Lanka,1.1037534642865734,0.8363,1.0113807291666665,0.6781,0.8362999999999999,0.294875,1.2539713874605907,1.3579034953031623,0.974830316091954,1.133192504743833,0.6457822815533981,0.09880000000000001,0.252325,0.197775,0.375075,0.5378000000000001,0.6459,0.51805,0.95275,0.6162500000000001,0.4082,0.81785,0.605775,1.1195393488332188,0.65495
Surveying Science - Sabaragamuwa University of Sri Lanka,1.1310499999999999,1.1328,1.313275,1.089,1.1232499999999999,0.8512,1.2941749999999999,1.300225,1.3356500000000002,1.3348,1.226875,0.889675,0.747125,1.07125,1.18625,1.20405,1.2258499999999999,1.071625,1.282125,1.147325,0.94175,1.287725,1.145975,1.300475,1.2580999999999998
Applied Sciences (Phy.Sc) - Rajarata University of Sri Lanka,0.89035,0.902675,0.9009750000000001,1.0068568965517244,0.9166749999999999,1.090392260208927,0.901975,0.8953500000000001,0.898425,0.962025,1.0624880646360715,1.0792751642130975,0.9765769026997104,1.079840944030957,1.0809858848144256,0.9783564102564104,1.0060706703910614,1.102543694938032,0.89365,0.9836768361581921,1.2040943878707315,0.9132,1.0304029503105592,0.89845,0.896225
Applied Sciences (Phy.Sc) - Sabaragamuwa University of Sri Lanka,0.977225,0.98725,0.9784499999999999,1.1606817270164123,0.99065,1.143805020662506,0.984425,0.9803250000000001,0.9742000000000002,1.1291853584558824,1.0624880646360715,1.0792751642130975,0.9765769026997104,1.139542544030957,1.1136608848144256,1.2536425108622162,1.1574804981452782,1.195778162926584,0.9743250000000001,1.1543744108335168,1.2040943878707315,1.01185,1.1861096675906382,0.9926250000000001,0.976325
Applied Sciences (Phy.Sc) - Wayamba University of Sri Lanka,0.850775,0.844125,0.8693,0.9480568965517242,0.8511249999999999,1.1212223283548137,0.8776,0.87405,0.8552,0.86185,1.0624880646360715,1.0792751642130975,0.9765769026997104,1.139542544030957,1.1731441126625268,1.1509541875089229,1.0117206703910615,0.9610646408839778,0.847675,1.029026267976374,1.2040943878707315,0.9613422979797979,1.0021907534246575,0.8633750000000001,0.8552
Applied Sciences (Phy.Sc) - University of Jaffna - Vavuniya Campus,1.1953205568678698,1.172883581785598,1.3185719464779169,1.1278254211835168,1.1001485861042604,1.143805020662506,1.3493939810434785,1.3579034953031623,1.3266004151204367,1.200641098493833,1.0624880646360715,1.0792751642130975,0.9765769026997104,1.1774553259858442,1.0592098844746074,1.1011425108622164,1.103375481723153,1.080303162926584,1.212926783521252,1.065914505892256,1.2040943878707315,1.1514688178458627,1.2377135738406382,1.1986892444080741,1.2811615287726406
Applied Sciences (Phy.Sc) - Eastern University - Trincomalee Campus,1.0668855568678695,0.800775,1.1803071366953082,0.605325,0.732425,0.211575,1.0845262446034478,1.3579034953031623,1.0853671581972173,1.093017504743833,0.518732281553398,0.12350000000000001,0.2743,0.38379326086956517,0.5318092281879195,0.608575,0.590775,0.438975,1.0555820959715938,0.5493250000000001,0.32915,0.7199500000000001,0.528875,0.9690737903225806,0.65925
Management - University of Colombo,1.729225,1.7291500000000002,1.730275,1.740675,1.7315,1.734775,1.729375,1.73035,1.734225,1.7493,1.5613366822429906,1.407655731389284,1.5679530701754385,1.7408249999999998,1.7448249999999998,1.755525,1.7505,1.7326249999999999,1.730775,1.73555,1.73535,1.7453750000000001,1.6070279503105591,1.732375,1.732775
Management - University of Peradeniya,1.587825,1.5867,1.5965000000000003,1.5999999999999999,1.58685,1.588825,1.589475,1.5450979166666665,1.6021750000000001,1.5944,1.6297249999999999,1.61265,1.6121500000000002,1.493835465116279,1.608725,1.59405,1.5889,1.5998,1.5867499999999999,1.59815,1.4139820204741378,1.59505,1.5449907534246576,1.604425,1.59595
Management - University of Sri Jayewardenepura,1.798875,1.8034249999999998,1.812075,1.81095,1.80825,1.8061500000000001,1.802925,1.805175,1.820725,1.8051,1.728282281553398,1.6727486363636364,1.836075,1.6451182608695651,1.81015,1.8367000000000002,1.8872749999999998,1.806,1.8010000000000002,1.813575,1.8174249999999998,1.816625,1.81085,1.8037750000000001,1.8077999999999999
Management - University of Kelaniya,1.629575,1.630925,1.630375,1.6452,1.631125,1.633575,1.63135,1.6341750000000002,1.646675,1.3886292694497153,1.0624880646360715,1.2105015278494613,0.9765769026997104,1.139542544030957,1.6597,1.4622926378013203,1.654725,1.638575,1.6308,1.6359,1.6484249999999998,1.63385,1.6368999999999998,1.632425,1.631775
Management - University of Jaffna,1.319,1.310575,1.440725,1.257275,1.29025,1.131725,1.3493939810434785,1.3579034953031623,1.196430316091954,1.1246,1.17415,1.167325,1.2367,1.070225,1.08795,1.108925,1.0753,1.194125,1.3502,1.2064499999999998,1.1580000000000001,1.236375,1.3162196596746576,1.3344517847306547,1.2645
Management - University of Ruhuna,1.416425,1.4173,1.41555,1.385969942196532,1.4211,1.43105,1.41615,1.4331,1.4239,1.3798987455526566,1.0624880646360715,1.0792751642130975,0.9765769026997104,1.139542544030957,1.453875,1.477675,1.431525,1.3611159049289216,1.4274,1.41795,1.45465,1.41875,1.417,1.4235000000000002,1.418
"Management - Eastern University, Sri Lanka",1.316891497461929,1.2978001634904974,1.3350311772471477,1.230000421183517,1.291575,1.129675,1.3493939810434785,1.3579034953031623,1.188180316091954,1.25609859375,1.0384057830826734,1.1639807313892843,1.1132238325242718,1.015725,1.063225,1.0727,1.06565,1.2288750000000002,1.3367419620926804,1.209175,1.188025,1.231825,1.2604346675906384,1.3278600403225806,1.2538999999999998
Management - South Eastern University of Sri Lanka,1.3427000000000002,1.3327749999999998,1.3137162173112502,1.227825421183517,1.30955,1.158325,1.3692012446034478,1.3579034953031623,1.188255316091954,1.2571158823529411,1.0624880646360715,1.141678892283273,0.9765769026997104,1.046630478914678,1.0779,1.096575,1.064475,1.2352750000000001,1.322772965787262,1.2017981428571427,1.1888,1.234875,1.2768939141659805,1.3203005988332188,1.26905
Management - Rajarata University of Sri Lanka,1.3304,1.3078750000000001,1.3609499999999999,1.3055750000000002,1.30415,1.3081,1.3595498633879783,1.3579034953031623,1.3084250000000002,1.4778,1.143222174805563,1.1344793677529204,1.1007814026997105,1.344310465116279,1.3241749999999999,1.3261749999999999,1.3194,1.3019749999999999,1.344375,1.3015,1.304625,1.302375,1.3257500000000002,1.3316737903225806,1.29975
Management - Sabaragamuwa University of Sri Lanka,1.3613250000000001,1.361275,1.3650499999999997,1.3333949421965319,1.3647,1.373975,1.36285,1.4108229166666666,1.363725,1.2998028631997154,1.1510098536268973,1.2652699082934609,0.9765769026997104,1.139542544030957,1.2417674560360208,1.2587287384071264,1.38945,1.342864640883978,1.3655249999999999,1.377525,1.3725749999999999,1.3617249999999999,1.3689500000000001,1.3697,1.364275
Management - Wayamba University of Sri Lanka,1.385875,1.385025,1.4012250000000002,1.386575,1.3865249999999998,1.398175,1.4057475935828876,1.380326677121344,1.3914303160919541,1.328166098493833,1.0624880646360715,1.1501043677529204,0.9765769026997104,1.139542544030957,1.392125,1.2587287384071264,1.406,1.38565,1.387,1.3889250000000002,1.3947,1.409325,1.3526657534246576,1.3903750000000001,1.411575
Estate Management & Valuation - University of Sri Jayewardenepura,1.500285,1.4305270161290324,1.479914809782609,1.4716136363636365,1.493468652849741,1.3559345679012345,1.477220142857143,1.5299268181818184,1.4957118421052633,1.3965883870967741,1.385882281553398,1.2734207964601771,1.2299704999999999,1.4237516000000001,1.4532582278481012,1.4511745508982037,1.3315956703910614,1.4041978448275863,1.4871810483870969,1.4563981428571429,1.4353696666666667,1.5026944293478262,1.437477950310559,1.5010862499999997,1.4798091623036649
Commerce - University of Sri Jayewardenepura,1.599825,1.60025,1.6031749999999998,1.6094,1.6106250000000002,1.4024875115848006,1.6018000000000001,1.608825,1.583755316091954,1.4483175047438328,1.0624880646360715,1.0792751642130975,0.9765769026997104,1.648175,1.2052941126625267,1.2587287384071264,1.4366478778244227,1.345888749756508,1.6068500000000001,1.6263,1.5396427007299271,1.6109499999999999,1.3241346675906382,1.6006999999999998,1.6263999999999998
Commerce - University of Kelaniya,1.4855250000000002,1.487475,1.491,1.503075,1.4909249999999998,1.5023250000000001,1.488325,1.497825,1.5047249999999999,1.3792237455526566,1.0624880646360715,1.1723543677529205,0.9765769026997104,1.139542544030957,1.2945191126625268,1.2587287384071264,1.3726228778244227,1.485239640883978,1.489925,1.5143499999999999,1.481292700729927,1.49685,1.4538907534246575,1.49275,1.4983999999999997
Commerce - University of Jaffna,1.28515,1.24775,1.3079749999999999,1.2175886363636366,1.2433750000000001,1.1630220794860353,1.3355762446034478,1.355525,1.3266004151204367,1.2138119808467742,1.113722174805563,1.132478892283273,1.175,1.1441287259858441,1.2052941126625267,1.2210425108622163,1.2448011685363396,1.1833978448275861,1.29095,1.1977731428571428,1.202792700729927,1.21605,1.281075,1.29755,1.21835
